Function,Description
_abnormal_termination,Returns true if a __try/__finally block is terminating due to an exception.
abort,Terminates the process immediately without flushing buffers.
abs,Calculates the absolute value of an integer.
_access,Checks the file-permission settings for a specific file or directory.
_acmdln_dll,Pointer to the command-line string for the process.
acos,Calculates the arccosine.
_aexit_rtn_dll,Internal pointer to the exit return function.
_amsg_exit,Displays a runtime error message and exits the program.
__argc_dll,Pointer to the count of command-line arguments.
__argv_dll,Pointer to the array of command-line argument strings.
asctime,Converts a tm struct to a character string.
asin,Calculates the arcsine.
_assert,Evaluates an expression and prints a diagnostic message if false.
atan,Calculates the arctangent.
atan2,Calculates the arctangent of y/x.
atexit,Registers a function to be called at program termination.
atof,Converts a string to a double-precision floating-point value.
atoi,Converts a string to an integer.
atol,Converts a string to a long integer.
_basemajor_dll,Global variable for the major version of the base OS.
_baseminor_dll,Global variable for the minor version of the base OS.
_baseversion_dll,Global variable for the base OS version.
_beep,Generates a speaker tone (Win32 wrapper).
_beginthread,Creates a new thread in the same process address space.
bsearch,Performs a binary search of a sorted array.
_c_exit,Performs C cleanup but returns to the caller without exiting.
_cabs,Calculates the absolute value of a complex number.
calloc,Allocates an array in memory and initializes elements to zero.
ceil,Calculates the ceiling of a value.
_cexit,Performs C cleanup and terminates the process.
_cgets,Reads a string from the console.
_chdir,Changes the current working directory.
_chdrive,Changes the current working drive.
_chgsign,Reverses the sign of a floating-point value.
_chmod,Changes the file-access permissions.
_chsize,Changes the size of a file.
_CIacos,Internal intrinsic for arccosine.
_CIasin,Internal intrinsic for arcsine.
_CIatan,Internal intrinsic for arctangent.
_CIatan2,Internal intrinsic for arctangent (y,x).
_CIcos,Internal intrinsic for cosine.
_CIcosh,Internal intrinsic for hyperbolic cosine.
_CIexp,Internal intrinsic for exponential.
_CIfmod,Internal intrinsic for floating-point remainder.
_CIlog,Internal intrinsic for natural logarithm.
_CIlog10,Internal intrinsic for base-10 logarithm.
_CIpow,Internal intrinsic for exponentiation.
_CIsin,Internal intrinsic for sine.
_CIsinh,Internal intrinsic for hyperbolic sine.
_CIsqrt,Internal intrinsic for square root.
_CItan,Internal intrinsic for tangent.
_CItanh,Internal intrinsic for hyperbolic tangent.
clearerr,Resets the error and end-of-file indicators for a stream.
_clearfp,Resets and returns the floating-point status word.
clock,Returns the processor time used by the process.
_close,Closes a file associated with a file descriptor.
_commit,Flushes a file's cache to disk.
_commode_dll,Global variable setting the default file translation mode.
_control87,Gets and sets the floating-point control word.
_controlfp,Gets and sets the floating-point control word (platform independent).
_copysign,Returns a value with the magnitude of one argument and sign of another.
cos,Calculates the cosine.
cosh,Calculates the hyperbolic cosine.
_cprintf,Formats and prints to the console.
_cpumode_dll,Global variable indicating the CPU mode.
_cputs,Outputs a string to the console.
_creat,Creates a new file or overwrites an existing one.
_cscanf,Reads formatted data from the console.
ctime,Converts a time_t value to a string.
_ctype,Global array containing character classification information.
_cwait,Waits for a child process to terminate.
_daylight_dll,Global variable for daylight savings time offset.
difftime,Calculates the difference between two times.
div,Computes the quotient and remainder of two integers.
